snail_id,date_collected,temp,caffeine_concentration,caffeine_mass_units,exposure_type,rep,mesocosm,date_dry_mass,dry_mass_g,date_poop_ash_free_dry_mass,poop_ash_free_dry_mass_g
53,20190718,17.5,1000000,ng,chronic,H,p_g,,,,
54,20190718,17.5,1000000,ng,chronic,I,p_g,,,,
55,20190718,17.5,1000000,ng,chronic,J,p_g,,,,
56,20190718,17.5,1000000,ng,chronic,K,p_g,,,,
57,20190718,17.5,1000000,ng,chronic,L,p_g,,,,
58,20190718,17.5,1000000,ng,chronic,M,p,,,,
59,20190718,17.5,1000000,ng,chronic,N,p,,,,
60,20190718,17.5,1000000,ng,chronic,O,p,,,,
61,20190718,12.5,0,ng,chronic,A,p_g,,,,
62,20190718,12.5,0,ng,chronic,B,p_g,,,,
63,20190718,12.5,0,ng,chronic,C,p_g,,,,
64,20190718,12.5,0,ng,chronic,D,p_g,,,,
65,20190718,12.5,0,ng,chronic,E,p_g,,,,
66,20190718,12.5,0,ng,chronic,F,p_g,,,,
67,20190718,12.5,0,ng,chronic,G,p_g,,,,
68,20190718,12.5,0,ng,chronic,H,p_g,,,,
69,20190718,12.5,0,ng,chronic,I,p_g,,,,
70,20190718,12.5,0,ng,chronic,J,p_g,,,,
71,20190718,12.5,0,ng,chronic,K,p_g,,,,
72,20190718,12.5,0,ng,chronic,L,p_g,,,,
73,20190718,12.5,0,ng,chronic,M,p,,,,
74,20190718,12.5,0,ng,chronic,N,p,,,,
75,20190718,12.5,0,ng,chronic,O,p,,,,
76,20190718,12.5,100,ng,chronic,A,p_g,,,,
77,20190718,12.5,100,ng,chronic,B,p_g,,,,
78,20190718,12.5,100,ng,chronic,C,p_g,,,,
79,20190718,12.5,100,ng,chronic,D,p_g,,,,
80,20190718,12.5,100,ng,chronic,E,p_g,,,,
81,20190718,12.5,100,ng,chronic,F,p_g,,,,
82,20190718,12.5,100,ng,chronic,G,p_g,,,,
83,20190718,12.5,100,ng,chronic,H,p_g,,,,
84,20190718,12.5,100,ng,chronic,I,p_g,,,,
85,20190718,12.5,100,ng,chronic,J,p_g,,,,
86,20190718,12.5,100,ng,chronic,K,p_g,,,,
87,20190718,12.5,100,ng,chronic,L,p_g,,,,
88,20190718,12.5,100,ng,chronic,M,p,,,,
89,20190718,12.5,100,ng,chronic,N,p,,,,
90,20190718,12.5,100,ng,chronic,O,p,,,,
91,20190718,12.5,10000,ng,chronic,A,p_g,,,,
92,20190718,12.5,10000,ng,chronic,B,p_g,,,,
93,20190718,12.5,10000,ng,chronic,C,p_g,,,,
94,20190718,12.5,10000,ng,chronic,D,p_g,,,,
95,20190718,12.5,10000,ng,chronic,E,p_g,,,,
96,20190718,12.5,10000,ng,chronic,F,p_g,,,,
97,20190718,12.5,10000,ng,chronic,G,p_g,,,,
98,20190718,12.5,10000,ng,chronic,H,p_g,,,,
